Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,ID,lon,lat
Heaven's Gate Garden,Heaven's Gate Garden,Gardens,"Brooklyn Queens Land Trust member garden - Once a dumping ground, Heaven’s Gate Garden is now alive with plants, film screenings, and more.","169-171 Hart Street, Brooklyn, Bed-Stuy, NY, 11206","Instagram: https://www.instagram.com/heavensgategarden/
Facebook: https://www.facebook.com/hggardenbrooklyn/",,,,,,,,,1365,-73.94457,40.693842
Hollenback Community Garden,Hollenback Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - The Hollenback Community Garden is over 30 years old and rose from the ashes of the Hollenback family mansion. In 1979, the more than 100-year-old mansion had fallen into a dilapidated state. One day, a fire started and the mansion burned to the ground. The lot--abandoned and filled with charred rubble--was repossessed by the city. A year after the fire, community residents came together with GreenThumb to create a community garden at the site. The founders cleared the lot, built paths and beds, and planted trees, bushes, flowers, and vegetables. They established a program to work with physically disabled children from neighboring school, P.S. 11. As many of the garden's original members have since passed on, Pink Rose Bushes were planted at the front of the garden as memorials to their dedication and vision. The garden is maintained by the hard work and democratic decision-making of approximately 40 garden members.","460 Washington Avenue, Brooklyn, Clinton Hill, NY, 11238",Facebook: https://www.facebook.com/hollenbackcommunitygarden,,,,,,,,,1366,-73.965509,40.685152
John the Baptist Community Garden,John the Baptist Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - In 1964, an abandoned lot was adopted by a diverse group of neighbors who shared a common dream of transforming an eyesore in their community into a space of beauty and pride. Over the past half century, thanks to the collective community effort, the space has served as a place for children to play, seniors to gather, and community members to garden. It also serves as a backdrop for performances. Over the years, the garden has been utilized by students from P.S. 81 and 274, hosted performances by the Traveling Theatre of Puerto Rico, and hosted volunteers from the Lucille Rose Manor Senior Citizen Society, the Juvenile Delinquency Protection Program, and a methadone program for recovering addicts.","10 Stuyvesant Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/john-the-baptist-community-garden,,,,,,,,,1367,-73.934981,40.696385
La Finca Garden,La Finca Garden,Gardens,"Brooklyn Queens Land Trust member garden - Started in 1986, La Finca Garden is located on a narrow lot on a commercial street in Bushwick. The garden has brightly painted wooden fences and gazebos, a large decorative planting area in the front, and raised beds for vegetables in the back. A permanent barbeque pit for roasting whole pigs, which are shared with neighbors during summer celebrations, was built by gardeners. As the cost of living in Bushwick increases, this space remains a critical community space for neighbors to gather and socialize.","1036 Flushing Avenue, Brooklyn, East Williamsburg, NY 11237",https://bqlt.org/garden/la-finca-garden,,,,,,,,,1368,-73.929518,40.704166
Lincoln-Berkeley Community Garden,Lincoln-Berkeley Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - Lincoln Berkeley Community Garden was founded in 1977 as a small shaded woodland retreat, a green space nestled in the busy urban environment. Over the years it has evolved to be a community hub for the residents of Park Slope. Today, the garden has matured into a small oasis of tranquility, a peaceful and restful place where you can relax, enjoy nature and escape from the daily grind. The garden has a strong membership and it’s a community hangout, with regular events, workshops and fundraisers for adults and children to enjoy. Lincoln Berkeley Community Garden has a composting program to enrich and maintain the soil of its garden, making it self sustained.","20 Lincoln Place, Brooklyn, Park Slope, NY 11217",https://bqlt.org/garden/lincoln-berkeley-community-garden,,,,,,,,,1369,-73.978828,40.677285
"Malcolm X Garden
","Malcolm X Garden
",Gardens,Brooklyn Queens Land Trust member garden.,"33-02 112th Street & 111-26 Northern Boulevard,
Queens, North Corona, NY 11368",https://bqlt.org/garden/malcolm-x-garden,,,,,,,,,1370,-73.857519,40.757757
Mama Dee's Garden,Mama Dee's Garden,Gardens,"Brooklyn Queens Land Trust member garden - This garden was started in 1994 by two volunteers from the neighborhood. To attract more members, the garden was revitalized in 2001. The garden has raised beds for growing vegetables, as well as flower beds and trees. The garden hosts summer picnics and barbecues, and groups of neighborhood children can often be seen helping with garden maintenance.","1397 Bedford Avenue, Brooklyn, Crown Heights, NY 11216",https://bqlt.org/garden/mama-dees,,,,,,,,,1371,-73.95308,40.675238
"McIntosh Neighborhood Association Garden
","McIntosh Neighborhood Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Started in 1978, McIntosh Neighborhood Association Garden has over 20 raised beds for growing herbs and vegetables. This triangle-shaped garden is also filled with flowers, fruit trees (fig, peach, & paw-paw), and mature trees. The garden has a small, but mighty group of gardeners and hosts NY Cares volunteers and youth volunteers like the Veggie Nuggets' Green Team/Climate activists. Neighbors of many different ethnic backgrounds and ages meet here, share knowledge brought with them from their diverse homelands.","25-16 McIntosh St. & 25-19 100th St., Queens, East Elmhurst, 11369",https://bqlt.org/garden/mcintosh-neighborhood-garden,,,,,,,,,1372,-73.869591,40.764331
"Merrick-Marsden Neighbors Assoc. Garden II
","Merrick-Marsden Neighbors Assoc. Garden II
",Gardens,Brooklyn Queens Land Trust member garden,"170-50 Foch Boulevard, Queens, St.Albans, NY 11434 (117-02 Merrick Boulevard, Queens, St. Albans, NY 11434 - DEP address)",https://bqlt.org/garden/merrick-marsden-neighbors-association-garden-2,,,,,,,,,1373,-73.774894,40.686755
"Merrick-Marsden Neighbors Association Garden
","Merrick-Marsden Neighbors Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Merrick-Marsden Neighbors Association Garden was developed by a local development corporation as a community beautification project in 1980. The garden is a large site with raised beds for vegetables, and also has many flowers and mature fruit trees. This garden is located across the street from an early childhood development center.","118-18 Merrick Boulevard, Queens, St. Albans, 11434",https://bqlt.org/garden/merrick-marsden-neighbors-association-garden,,,,,,,,,1374,-73.774189,40.686157
